Company Name,Company Address,Expired Date (Halal),Phone No.,Email
HAPINAGA SDN BHD,"LOT 624, MUKIM 12, JURU,14000 BUKIR MERTAJAM,PULAU PINANG.Pulau Pinang",31/01/2023.,04-5076828 / 04-5078887 / 017-9348331,danialng@streamyx.com
HEAP YEE BROTHERS PROCESSING SDN BHD,"3319, KAMPUNG MAYA,SALAK SOUTH,57100 KUALA LUMPUR. ",15/02/2023.,03-79815327 / 79839618,heapyee@yahoo.com
HLRB PROCESSING SDN BHD,"LOT 1828,1829,1830,MUKIM SERKAM, MERLIMAU,77300JASINMelaka",30/09/2024,06-2695633,zudinhl@yahoo.com
HS NADA SDN BHD,"NO. 2 & 3, WISMA NADA,JALAN 11, SELAYANG BARU,68100 BATU CAVES, SELANGOR.",15/01/2023,0133223132,jiha.hsnada@gmail.com
IBY PUYUH JAYA ENTERPRISE,"LOT 220,KAMPUNG BERJAYA KEDA BATU 10, JENIANG,08700 GURUN, KEDAH.",15/09/2023.,0135814330,ibrahimpuyuh@gmail.com
IN-PRO'S COLDSTORAGE MARKETING (T) SDN. BHD.,"TB 3215,  EL-NYSA LIGHT INDUSTRIAL ESTATE, JLN KABOTA, MILE 3, JLN APAS,91000 TAWAU, SABAH",31/01/2023.,089912946,inprostwu@gmail.com
JABATAN PERKHIDMATAN VETERINAR,"RUMAH SEMBELIH KUALA PILAH,LOT 4, KAWASAN PERUSAHAAN DIOH, 72000, KUALA PILAH, NEGERI SEMBILAN.Negeri Sembilan",30/11/2023,064812485,sitiaishah@dvs.gov.my
JAYA GADING FARM SDN BHD,"LOT 117, KAWASAN PERINDUSTRIAN SEMAMBU,25350 KUANTAN, PAHANG",31/10/2023,095666566,syaiful@cab.com.my
JIMAT JAYA SDN BHD,"PLOT 21-24, KAWASAN INDUSTRI RINGAN BUKIT MAKMUR,SUNGAI LALANG, BEDONG,SUNGAI PETANI08100Kedah",15/04/2024,04-4483222,jimatjayasungaipetani@gmail.com
JIMAT JAYA SDN BHD,"NO. 8, JLN SEGAMBUT LENTANG SEGAMBUT,51200 WILAYAH PERSEKUTUAN KUALA LUMPUR",31/07/2024,03-62582114/2115,jimatjaya@hotmail.com
K&L FARMING INDUSTRIES SDN. BHD,"SUBLOT 31, LOT 270-282,9TH MILES, JALAN PENRISSEN,93250 KUCHING, SARAWAK.93250KUCHINGSarawak",31/01/2023.,082-614863,elvis.then@goldenchicks.com
KEE SONG FOOD (M) SDN BHD,"NO 19, JALAN INDUSTRI 8,TAMAN PERINDUSTRIAN PEKAN NENAS,81500 PONTIAN, JOHOR81500PONTIANJohor",31/05/2024,07-6993167,lucky@keesong.com
KERABAT PROCESSING HOUSE (PEDAS) SDN. BHD.,"LOT PT NO. 1769,KAWASAN MIEL PEDAS HALAL PARK,71400, REMBAU, NEGERI SEMBILAN.",15/10/2024,06-6854333,halal@worldsign.com.my
KL SUPREME PROCESSING SDN BHD,"NO. 5, PERSIARAN INDUSTRI, SRI DAMANSARA INDUSTRIAL PARK,52200 WILAYAH PERSEKUTUAN, KUALA LUMPUR.Wilayah Persekutuan",31/10/2022.,"03-62736781,62736782,62774392/3",klsupreme@klsp.com.my
KOMPLEKS ABATOIR BANTING,"NO.659 KUARTERS VETERINAR, JLN DENGKIL, KAMPUNG SUNGAI MANGGISJALAN DENGKIL SG. MANGGISPLEASE CHOOSE42700BANTINGSelangor",15/02/2023.,0331872751,kab_r11@yahoo.com
KOMPLEKS ABATOIR JASIN,"JABATAN PERKHIDMATAN VETERINARKM 18.5, BUKIT KEPOK, MERLIMAU,77300 JASIN, MELAKA.",15/11/2022.,06-2632854,rsjasin_jpv@yahoo.com
KOMPLEKS ABATOIR MACHANG,"JABATAN PERKHIDMATAN VETERINARLOT PT 870, MUKIM DEWAN LABOK, 18500, MACHANG, KELANTAN.",31/05/2023.,9753976,aznira@dvs.gov.my
KOMPLEKS ABATOIR PASIR MAS,"LOT PT.122 MUKIM GUAL PERIOK JABATAN PERKHIDMATAN VETERINAR,17200, PASIR MAS, KELANTAN. ",15/04/2023.,097954365,adpmdvs@gmail.com
KOMPLEKS ABATOIR TELUK INTAN ,"JABATAN PERKHIDMATAN VETERINAR MALAYSIA (JPV)KM 14, JALAN TELUK INTAN-LUMUT,36000, TELUK INTAN, PERAK",15/07/2023.,05-6221693,rs.telukintan@gmail.com
KOMPLEKS RUMAH SEMBELIH JEJAWI,"KOMPLEKS ABATOIR JEJAWI, JABATAN PERKHIDMATAN, VETERINAR, JALAN JEJAWI SEMATANGJABATAN PERKHIDMATAN VETERINAR, JALAN JEJAWI SEMATANG, 02600,ARAU, PERLIS.",15/01/2023.,+6013488545,azu2309@yahoo.com
KT TULUS JAYA ENTERPRISE,"LOT 930, BATU 8 1/4,JALAN BUKIT PINANG, KEPALA BATAS,06200 ALOR SETAR, KEDAH.06200Kedah",31/01/2023.,0124708659,lfckt@hotmail.com
LAY HONG FOOD CORPORATION SDN BHD,"LOT 16456, 16457 ,16486 & 16458,16459JALAN SUNGAI TENGKORAK, BAGAN TENGKORAK, 45500 TANJONG KARANG, SELANGOR.45500TANJONG KARANGSelangor",30/11/2024,0162188806,lhfc-qa1@layhong.com.my
LEONG HUP AGROBUSINESS SDN BHD,"3RD FLOOR, WISMA WESTCOURT,126, JALAN KLANG LAMA,58000 WILAYAH PERSEKUTUAN, KUALA LUMPUR.",15/06/2025,0379808086,kewyianping@lhhb.com
LEPAN JAYA FOOD SDN BHD,"NO.2008-2009, BANDAR BARU, 18300, GUA MUSANG, KELANTAN. ",31/01/2023.,0129885793,ma_food@ymail.com
LTC AYAM SDN BHD,"367, MK3, JALAN TASEK,14200, PULAU PINANG",28/02/2023,04-5831201/5831202/5831204,ltcayam@gmail.com
M ENTERPRISE,"NO. 7, PERSIARAN INDUSTRI BERCHAM 12,KAWASAN PERINDUSTRIAN RINGAN BERCHAM,31400, IPOH, PERAK.31400IPOHPerak",15/11/2022.,0125270725,m888enterprise@gmail.com
MAHASAL SDN. BHD.,"LOT 382, BLOCK NO.3,SUNGAI MERADONG, SARIKEI,96508 BINTANGOR, SARAWAK.96508SARIKEISarawak",31/10/2022.,013-5603902,mirodonimahbar@gmail.com
MANZR HOLDINGS SDN BHD,"759 C, N/TO JALAN PENGKALAN TOK KERAMAT,14000, BUKIT MERTAJAM, PULAU PINANG.",31/03/2023.,045016043,manzrholdings@gmail.com
MARS GLOBAL SDN. BHD.,"PTD 106227 JALAN SEROJA 28BANDAR INDAHPURA81000 KULAI, JOHOR.",31/01/2023.,076523073,marsglobal999@gmail.com
MASTERLY FOOD INDUSTRY SDN BHD,"LOT 23136, JLN BSS 1/2A, BANDAR SEREMBAN SELATAN71450, SEREMBAN, NEGERI SEMBILAN.",15/07/2023.,066775828,aishah.masterly@gmail.com
MF MAJU PROCESSING SDN BHD,"LOT 294 BT 19 1/2 JALAN SEKOLAH LAMA,, KAMPUNG AYER LIMAU,KAMPUNG AYER LIMAU,  MASJID TANAH78300 ALOR GAJAH, MELAKA.",31/05/2023.,0132759377,ayammaju2978@gmail.com
MHN POULTRY FARM SDN BHD,"PT1566 KAMPUNG PADANG LAYANG PENDEK15100, KOTA BHARU, KELANTAN.",15/11/2022.,0199811344,MHNPOULTRYFARM@GMAIL.COM
MUMTAZ MEAT & MARINE FOODS SDN BHD,"NO 3-A, JALAN VILLARAYA 2/1,KAWASAN PERINDUSTRIAN VILLARAYA, JALAN SUNGAI LALANG,43500 SEMENYIH, SELANGOR.",15/07/2024,03-87231725 / 03-87231720,halalmumtaz@azzain.my
MUTIARA JUTAMAS SDN BHD,"NO. 5, KAMPUNG SUNGAI LEBAI YAHYA,JALAN PEKAN PALOH HINAI,26600 PEKAN, PAHANG.",30/11/2022.,013-9153552/017-9526620,mutiarajutamas@yahoo.com.my
NAFAS FOOD PROCESSING & MARKETING SDN. BHD. ( FORMELY KNOWN AS NAFAS FOOD PROCESSING SDN. BHD. ),"NO. 1549, MUKIM 12, VALDOR INDUSTRIAL LAND14200SUNGAI BAKAPPulau Pinang",31/10/2022.,604-5850001,nafasfp@tm.net.my
NAS MADI VENTURE SDN BHD,"LOT 26, KAWASAN PERINDUSTRIAN KUALA PERLIS,02000, KUALA PERLIS, PERLIS. ",31/03/2025,0185794235,nasmadi9910@gmail.com
NB POULTRY PROCESSING INDUSTRIES SDN BHD,"PTD 7904, KG PARIT BARU SELANGOR, BATU 31, 82000 PONTIAN, JOHOR.82000PONTIANJohor",31/12/2023,07-6881408,nbpoultry@gmail.com
NEW BALOK POULTRY INDUSTRIES SDN BHD,"22-26 JALAN IM 14/4 ,TAMAN INDUSTRIAL KOTA PRIMA FASA 1PRIMA KOTA FASA 1,25200 KUANTAN, PAHANG.25200Pahang",31/12/2022.,095088328,halaldept@newbalok.com
NGUONG SUNG FARM SDN BHD,"LOT 1284, JALAN UBAH LANANG, 96000SIBU Sarawak",15/12/2022.,0198170912,nguongsungfarm@hotmail.com
NUR FNZ ENTERPRISE,"LOT 5979, PARIT SANIMAN,AYER BALOI,82100 PONTIAN, JOHOR",31/08/2023.,019-7251725,-puyuhpontian@gmail.com
PCK PROCESSING & MARKETING SDN BHD,"LOT 26136, ESTATE PERINDUSTRIAN,32040, SERI MANJUNG, PERAK.",28/02/2023.,056885592,pck_group@live.com
PELANGI PROCESSING SDN BHD,"45, LINGKUNGAN RAJA LUMU,KAWASAN PERINDUSTRIAN PANDAMARAN, PELABUHAN KLANG,42000 KLANG, SELANGOR.",30/11/2023,03-31650050,ppsb45@yahoo.com
PEMBORONG AYAM AK (M) SDN. BHD. ,"48, LORONG MACHANG INDAH 6, TAMAN PERINDUSTRIAN MACHANG INDAH,14000, BUKIT MERTAJAM, PULAU PINANG",31/05/2023.,0194766269,ayamak.no1@gmail.com
PEMROSESAN AYAM BD,"KM 19,KG BELIMBING DALAM,76100 DURIAN TUNGGAL, MELAKA.76100ALOR GAJAHMelaka",15/12/2022.,0122222697,syamsulrahman045089@gmail.com
PERAK DUCK FOOD INDUSTRIES SDN BHD,"LOT 3525, KAMPUNG NIBONG, TEMERLOH,34800, TRONG, TAIPING, PERAK34800TRONGPerak",30/11/2023,058544146,duckling_pdi@yahoo.com
PERNIAGAAN A YAMMIE,"15, KLEBANG BISTARI 5,KAWASAN PERINDUSTRIAN KLEBANG BISTARI,31200, CHEMOR, PERAK",15/02/2023.,0183354180,ayammiesdnbhd@gmail.com
PERNIAGAAN AYAM DAGING YEW,"PT 4253, MUKIM LUMUT,32040, SERI MANJUNG, PERAK",31/01/2023.,0125106312,ayamyew@hotmail.com
PERNIAGAAN HENG WANG,"NO.7,  STOR AYAM PASAR BESAR JERANTUT 27000 JERANTUT, PAHANG",28/02/2023.,0169408081,TIADA
PERTUBUHAN PELADANG NEGERI SELANGOR,"NO.4, JALAN LINGKUNGAN RAJA LUMU, KAWASAN PERINDUSTRIAN PANDAMARAN,42000 PELABUHAN KLANG,SELANGOR4200042000 PELABUHAN KLANG,SELANGORSelangor",15/05/2024,0193716300,ternakppns@yahoo.com
PERTUBUHAN PELADANG NEGERI WILAYAH PERSEKUTUAN ,"LOT CL205368252, RANCHA-RANCHA, TINGKAT BAWAH, BANGUNAN LEMBAGA PERTUBUHAN PELADANG, KM.5, JALAN POHON,87020 WILAYAH PERSEKUTUAN LABUAN.",15/08/2023.,087428457,ppnwilayah@yahoo.com.my
PG LEAN HWA TRADING SDN BHD,"1486, MK 12, JALAN SERUNAI, LADANG VALDOR, 14200, SUNGAI BAKAP, PULAU PINANG. ",31/07/2024,04-5824720,qaqc02plant2.pglh@gmail.com
PK AGRO-INDUSTRIAL PRODUCTS (M) SDN. BHD.,"LOT 10, MIEL BUILDING,SENAWANG INDUSTRIAL ESTATE,70450, SENAWANG, NEGERI SEMBILAN.",15/08/2024,06-6783332/06-6788425,imran.sh@cpmalaysia.com
POULTEC ENTERPRISE SDN BHD,"SP 97 & SP 109,KAWASAN INDUSTRI RINGAN SUNGAI PETAI,78000 ALOR GAJAH, MELAKA. 78000ALOR GAJAHMelaka",30/09/2024,065566118,poultecayamsarjan@gmail.com
PPES TERNAK SDN BHD,"LOT 1641, BLOK 5, SENTAH-SEGU LAND DISTRICT, SIBURAN,94700 SERIAN, SARAWAK.94700Sarawak",31/05/2023,082-860111,ppesternak@sarabif.com
PTS POULTRY PROCESSING (BP) SDN. BHD.,"NO. LOT 1310, BATU 4 1/2JALAN MINYAK BEKU83030 BATU PAHAT, JOHOR83030BATU PAHATJohor",31/12/2022.,074280130,halalmb@pts.hyfresh.com.my
PUSING RIA SDN BHD,"PT 655, JALAN LAHAT,31550 PUSING, PERAKPerak",15/07/2023.,052882079,pusingria@gmail.com
PUYUH MUTIARA ENTERPRISE,"LOT 12843, JALAN TIGA,13200, KEPALA BATAS, PULAU PINANG.",30/04/2023.,0195101828,puyuhmutiara@gmail.com
QL AGROVENTURES SDN BHD,"CL 215376542 & CL 215376551, KAMPUNG TOMBOVO, PUTATAN, 88200 KOTA KINABALU, SABAH.",31/01/2023.,088762401,nhshoo@ql.com.my
QL LIVESTOCK FARMING SDN. BHD.,"GROUND & 1ST FLOOR, S/L 2490,FORTUNE LAND, ROCK ROAD,93200 KUCHING, SARAWAK.",15/03/2023.,(082) 252760/240068,ql_agroresources@yahoo.com
RASTAMAS COLD STORAGE SDN BHD,"WISMA RASTAMAS KM 7 JALAN APAS, WDT 99,91009TAWAUSabah",31/01/2023.,089-913235,manukmas@gmail.com
"RUMAH SEMBELIH BENTONG, JABATAN PERKHIDMATAN VETERINAR","LOT 24 B,KAWASAN PERINDUSTRIAN BENTONG,28700 BENTONG, PAHANG.",15/08/2023.,09-2235393,abatoirbent@yahoo.com
RUMAH SEMBELIH JOHOR BAHRU,"KOMPLEKS ABATOIR JOHOR BAHRUJABATAN PERKHIDMATAN VETERINAR, BATU 4, JALAN KEMPAS LAMA81300 JOHOR BAHRU, JOHOR",28/02/2023.,075576128,rumahsembelihjb@gmail.com
RUMAH SEMBELIH KUANTAN,"JABATAN PERKHIDMATAN VETERINAR MALAYSIA, KM 19, JALAN KUANTAN GAMBANG ,25150 KUANTAN, PAHANG",30/09/2023.,095384422,rskuantan@gmail.com
"RUMAH SEMBELIH RAUB, JABATAN PERKHIDMATAN VETERINAR","KOMPLEKS ABATOR RAUB,JALAN KRAU,27600 RAUB, PAHANG.",15/07/2023.,093550949,kamarullzaman@dvs.gov.my
RUMAH SEMBELIH RUMINAN JABATAN PERKHIDMATAN VETERINAR,"RUMAH SEMBELIH TEMERLOHJABATAN PERKHIDMATAN VETERINAR, LOT 66 KAWASAN PERINDUSTRIAN SONGSANG28000 TEMERLOH, PAHANG",31/05/2023.,092772779,zaidi.ismail@dvs.gov.my
"RUMAH SEMBELIH RUMINAN KUALA LIPIS, JABATAN PERKHIDMATAN VETERINAR MALAYSIA","KOMPLEKS RUMAH SEMBELIH KUALA LIPIS, KM7 JLN PADANG TENGKU27200 KUALA LIPIS, PAHANG DARUL MAKMUR",31/01/2023.,093124867,rskl_phg@yahoo.com
RUMAH SEMBELIH RUMINAN SEBERANG PERAI,"RUMAH SEMBELIH RUMINAN SEBERANG PERAILOT 798 MUKIM 11 BUKIT TENGAH14000, BUKIT MERTAJAM, PULAU PINANG.14000BUKIT MERTAJAMPulau Pinang",31/10/2022.,04-5089051,rsbtpp@gmail.com
RUMAH SEMBELIH SHAH ALAM,"KOMPLEKS ABATOIR SHAH ALAM, JABATAN PERKHIDMATAN VETERINAR, LOT 1, JALAN UTAS 15/7, SEKSYEN 15,40200 SHAH ALAM, SELANGOR",31/05/2023.,03-55190066,sitizubaidah@dvs.gov.my
SATOYAMA FARM & CONSTRUCTION SDN. BHD.,"1ST FLOOR NO. 7, LOT 8513, TABUAN STUTONG COMMERCIAL CENTRE, JALAN SETIA RAJA,93350 KUCHING, SARAWAK.Sarawak",15/11/2022.,082363162,ramzi.hamdi@gmail.com
SAWIT KINABALU FARM PRODUCTS SDN BHD,"LOCKED BAG NO. 28, KM 2.5, JALAN KUHARAKM 2.5, JALAN KUHARA91009 TAWAU, SABAH, MALAYSIA",15/03/2023.,089951896,skfpsb@sawitkinabalu.com.my
SBL QUAIL FARM SDN. BHD.,"E 301BATU 3 1/4, JALAN BAKRI,84000 MUAR, JOHOR84300MUARJohor",31/12/2022.,0127770939,tohtianyaw@yahoo.com
SELERA MAJU ROMPIN,"E2/390, JLN ROMPIN-KUANTAN,26800 KUALA ROMPINPAHANG",30/04/2023.,0199266699,lisaoj.lisa@gmail.com
SENTOSIAH SDN. BHD,"NO. 5, JLN TPP 5/9,TMN PERINDUSTRIAN PUCHONG,47100 PUCHONG, SELANGOR",31/05/2023.,03-80616286,tripllle@hotmail.com
SG DAMAI ENTERPRISE,"NO. 8, LORONG PERUSAHAAN PENGKALAN 5,TAMAN PERUSAHAAN PERKHIDMATAN PENGKALAN,34000, TAIPING, PERAK",30/11/2022.,0166335775,SGDAMAIENT@GMAIL.COM
SHIN YANG AGRICULTURE SDN BHD,"LOT 515, JLN DATUK EDWARD JELI, PIASAU INDUSTRIAL ESTATE,98000 MIRI, SARAWAK.",15/04/2023.,085-406112,Tiada
