Company Name,Company Address,Expired Date (Halal),Phone No.,Email
HLRB PROCESSING SDN BHD,"LOT 1828,1829 & 1830,MUKIM SERKAM, MERLIMAU,77300 JASIN, MELAKA.77300JASINMelaka","['15/07/2024', '29/02/2024', '29/02/2024', '15/01/2024', '15/12/2023', '15/10/2023', '15/07/2023', '15/04/2023', '31/12/2022', '31/08/2022', '31/08/2022', '15/06/2022', '15/05/2022.']",['06-2695633'],['zudinhl@yahoo.com']
HS NADA SDN BHD,"NO. 2 & 3, WISMA NADA,JALAN 11, SELAYANG BARU,68100 BATU CAVES, SELANGOR.","['15/01/2023', '15/12/2022.']",['0133223132'],['jiha.hsnada@gmail.com']
IN-PRO'S COLDSTORAGE MARKETING (T) SDN. BHD.,"TB 3215, EL-NYSA LIGHT INDUSTRIAL ESTATE, JLN KABOTA, MILE 3, JLN APAS, TAWAU EL-NYSA LIGHT INDUSTRIAL ESTATE, JALAN KABOTA, TAWAU91000TAWAUSabah",['31/01/2023.'],['089912946'],['inprostwu@gmail.com']
IQ AGRO FARM,"LOT 1030 KG. BULOH POH16450 KOTA BHARU, KELANTANKelantan",['15/04/2022.'],['0129605982'],['iqagrofarm@gmail.com']
JABATAN PERKHIDMATAN VETERINAR,"RUMAH SEMBELIH KUALA PILAH,LOT 4, KAWASAN PERUSAHAAN DIOH, 72000, KUALA PILAH, NEGERI SEMBILAN.Negeri Sembilan",['31/10/2022.'],['064812485'],['sitiaishah@dvs.gov.']
JABATAN PERKHIDMATAN VETERINAR,"RUMAH SEMBELIHANKOMPLEKS ABATOIR SENAWANG70720, SEREMBAN, NEGERI SEMBILAN.Negeri Sembilan",['15/09/2022.'],['06-6775126'],['rssenawang@yahoo.com']
JAYA GADING FARM SDN BHD,"LOT 117, KAWASAN PERINDUSTRIAN SEMAMBU,25350 KUANTAN, PAHANG",['31/10/2022.'],['095666566'],['syaiful@cab.com.my']
JIMAT JAYA SDN BHD,"NO.8, JLN SEGAMBUT LENTANG SEGAMBUT,51200 WILAYAH PERSEKUTUAN, KUALA LUMPUR","['15/05/2024', '31/12/2022.']",['03-62582114/2115'],['jimatjaya@hotmail.com']
JIMAT JAYA SDN BHD,"PLOT 21-24, KAWASAN INDUSTRI RINGAN BUKIT MAKMUR, SUNGAI LALANG, 08100 BEDONG, KEDAH DARUL AMAN, Kedah","['15/04/2024', '15/04/2023', '30/09/2022.']",['04-4483222'],['jimatjayasungaipetani@gmail.com']
K&L FARMING INDUSTRIES SDN. BHD,"SUBLOT 31, LOT 270-282,9TH MILES, JALAN PENRISSEN,93250 KUCHING, SARAWAK.",['31/01/2023.'],['082-614863'],['elvis.then@goldenchicks.com']
KERABAT PROCESSING HOUSE (PEDAS) SDN. BHD.,"LOT PT NO. 1769,KAWASAN MIEL PEDAS HALAL PARK,71400Negeri Sembilan","['30/06/2024', '15/01/2023', '15/11/2022', '15/11/2022', '15/10/2022', '31/08/2022', '31/07/2022.']",['06-6854333'],['halal@worldsign.com.my']
KHAIRUN NIZAM BIN SALEHUDDIN,"NO.3 GERAI AYAM ,PASAR TANI27000 JERANTUT,PAHANGPahang",['30/04/2022.'],['01113159891'],['aki_cracles@yahoo.com']
KL SUPREME PROCESSING SDN BHD,"NO. 5, PERSIARAN INDUSTRI, SRI DAMANSARA INDUSTRIAL PARK,52200 WILAYAH PERSEKUTUAN, KUALA LUMPUR.Wilayah Persekutuan",['31/10/2022.'],"['03-62736781,62736782,62774392/3']",['klsupreme@klsp.com.my']
KOMPLEKS ABATOIR BANTING," JABATAN PERKHIDMATAN VETERINARJALAN DENGKIL SG. MANGGIS42700 BANTING,SELANGORSelangor",['15/02/2023.'],['0331872751'],['kab_r11@yahoo.com']
KOMPLEKS ABATOIR DUNGUN,"JABATAN PERKHIDMATAN VETERINAR,KG.CHE LIJAH,23000 DUNGUN, TERENGGANU.Terengganu",['15/05/2022.'],['098485139'],['anuar.rsd@gmail.com']
KOMPLEKS ABATOIR GONG  BADAK KUALA TERENGGANU," JABATAN PERKHIDMATAN VETERINAR, KAWASAN PERINDUSTRIAN GONG BADAKKAWASAN PERINDUSTRIAN GONG BADAK, 21300,KUALA TERENGGANU, TERENGGANU.Terengganu",['30/09/2022.'],['09-6674225'],['abatoirterengganu@gmail.com']
KOMPLEKS ABATOIR IPOH (BAHAGIAN RUMINAN),"JABATAN PERKHIDMATAN VETERINAR MALAYSIA (JPV)LOT 465361, KM 2.5, JALAN LAHAT-MENGLEMBU,31450 MENGLEMBU, PERAKPerak",['30/04/2022.'],['052821019'],['syams_74@yahoo.com']
KOMPLEKS ABATOIR JASIN,"JABATAN PERKHIDMATAN VETERINARKM 18.5, BUKIT KEPOK, MERLIMAU,77300 JASIN, MELAKA.",['15/11/2022.'],['06-2632854'],['rsjasin_jpv@yahoo.com']
KOMPLEKS ABATOIR KOTA BHARU,"JABATAN PERKHIDMATAN VETERINAR, LOT 4098 & 4099, BLOK H, JALAN 20,KAWASAN PERINDUSTRIAN PENGKALAN CHEPA 2, 16100, KOTA BHARU, KELANTAN.Kelantan",['31/08/2022.'],['097731444'],['m.nasri@dvs.gov.my']
KOMPLEKS ABATOIR TELUK INTAN ,"JABATAN PERKHIDMATAN VETERINAR MALAYSIA (JPV)KM 14, JALAN TELUK INTAN-LUMUT,36000 TELUK INTAN, PERAKPerak",['30/04/2022.'],['05-6221693'],['rs.telukintan@gmail.com']
KOMPLEKS RUMAH SEMBELIH JEJAWI,"KOMPLEKS ABATOIR JEJAWI, JABATAN PERKHIDMATAN, VETERINAR, JALAN JEJAWI SEMATANGJABATAN PERKHIDMATAN VETERINAR, JALAN JEJAWI SEMATANG, 02600,ARAU, PERLIS.",['15/01/2023.'],['+6013488545'],['azu2309@yahoo.com']
KOMPLEKS RUMAH SEMBELIH TAIPING,"JABATAN PERKHIDMATAN VETERINAR MALAYSIA (JPV)JALAN POKOK ASSAM,34000 TAIPING, PERAKPerak",['31/03/2022.'],['058074611'],['rstaiping@yahoo.com']
KT TULUS JAYA ENTERPRISE,"LOT 930, BATU 8 1/4,JALAN BUKIT PINANG, KEPALA BATAS,06200 ALOR SETAR, KEDAH.",['31/01/2023.'],['0124708659'],['lfckt@hotmail.com']
LADANG KAMPBARU ,"NO 1. RUMAH SEMBELIHAN AYAM, PASAR BESAR JERANTUT27000 JERANTUT, PAHANGPahang",['30/04/2022.'],['0165913350'],['mohamadfikree17@gmail.com']
LADANG RELA SDN. BHD.,"KG. MADSIANG, KM.17, JALAN PENAMPANG, P.O BOX 276,89507 PENAMPANG, SABAH.Sabah",['30/06/2022.'],['088-716181'],['imyingmiracle@gmail.com ']
LAY HONG FOOD CORPORATION SDN BHD,"LOT 16456, 16457 & 16486, JALAN SUNGAI TENGKORAK, BAGAN TENGKORAK, 45500 TANJONG KARANG, SELANGOR.45500TANJONG KARANGSelangor","['30/11/2024', '15/12/2023', '15/10/2023', '15/05/2023', '30/04/2023', '15/12/2022', '30/06/2022', '31/05/2022.']",['0162188806'],['lhfc-qa1@layhong.com.my']
LEONG HUP AGROBUSINESS SDN BHD,"3RD FLOOR, WISMA WESTCOURT,126, JALAN KLANG LAMA,58000 WILAYAH PERSEKUTUAN, KUALA LUMPUR.58000KUALA LUMPURWilayah Persekutuan","['30/11/2023', '31/07/2023', '15/04/2023', '31/12/2022', '30/06/2022', '30/06/2022.']",['0379808086'],['kewyianping@lhhb.com']
LEPAN JAYA FOOD SDN BHD,"NO.2008-2009, BANDAR BARU, 18300, GUA MUSANG, KELANTAN. ",['31/01/2023.'],['0129885793'],['ma_food@ymail.com']
M ENTERPRISE,"NO. 7, PERSIARAN INDUSTRI BERCHAM 12,KAWASAN PERINDUSTRIAN RINGAN BERCHAM,31400, IPOH, PERAK.",['15/11/2022.'],['0125270725'],['m888enterprise@gmail.com']
MAHASAL SDN. BHD.,"LOT 382, BLOCK NO.3,SUNGAI MERADONG, SARIKEI,96508 BINTANGOR, SARAWAK.",['31/10/2022.'],['013-5603902'],['mirodonimahbar@gmail.com']
MARS GLOBAL SDN. BHD.,"PTD 106227 JALAN SEROJA 28BANDAR INDAHPURA81000 KULAI, JOHOR.",['31/01/2023.'],['076523073'],['marsglobal999@gmail.com']
MHN POULTRY FARM SDN BHD,"PT1566 KAMPUNG PADANG LAYANG PENDEK15100, KOTA BHARU, KELANTAN.",['15/11/2022.'],['0199811344'],['MHNPOULTRYFARM@GMAIL.COM']
MM EXCELLENT (M) SDN BHD,"SI-30-09, D'SARA SENTRAL, JALAN WELFARE,KAMPUNG BARU SUNGAI BULOH, SEKSYEN U19,40160 SHAH ALAM, SELANGOR.Selangor",['15/04/2022.'],['0350303684'],['mmgroupg@gmail.com']
MUSALMAH FARM SDN BHD,"108, KG BANGGOL KATONG, SERADA,20050 KUALA LTERNGGANU, TERENGGANU.20050Terengganu",['15/05/2022.'],['0179512374'],['musalmah.farm@gmail.com']
MUTIARA JUTAMAS SDN BHD,"NO. 5, KAMPUNG SUNGAI LEBAI YAHYA,JALAN PEKAN PALOH HINAI,26600 PEKAN, PAHANG.",['30/11/2022.'],['013-9153552/017-9526620'],['mutiarajutamas@yahoo.com.my']
NAFAS FOOD PROCESSING & MARKETING SDN. BHD. ( FORMELY KNOWN AS NAFAS FOOD PROCESSING SDN. BHD. ),"NO. 1549, MUKIM 12, VALDOR INDUSTRIAL LAND14200, SUNGAI BAKAP, PULAU PINANG. Pulau Pinang",['31/10/2022.'],['604-5828899'],['nafasfp@tm.net.my']
NAS MADI VENTURE SDN BHD,"LOT 26, KAWASAN PERINDUSTRIAN KUALA PERLIS,02000, KUALA PERLIS, PERLIS. ",['15/01/2023.'],['0185794235'],['nasmadi9910@gmail.com']
NB POULTRY PROCESSING INDUSTRIES SDN BHD,"PTD 7904, KG PARIT BARU SELANGOR, BATU 31, 82000 PONTIAN, JOHOR.","['31/12/2023', '31/12/2022.']",['07-6881408'],['hakimnbpoultry@gmail.com']
NEW BALOK POULTRY INDUSTRIES SDN BHD,"22-26 JALAN IM 14/4 ,TAMAN INDUSTRIAL KOTA PRIMA FASA 1PRIMA KOTA FASA 1,25200 KUANTAN, PAHANG.",['31/12/2022.'],['095088328'],['halaldept@newbalok.com']
NGUONG SUNG FARM SDN BHD,"LOT 1284, JALAN UBAH LANANG, 96000 SIBU, SARAWAK.",['15/12/2022.'],['084311908'],['nguongsungfarm@hotmail.com']
NTKK POULTRY PROCESSING SDN BHD,"NO. 13 & 15, LALUAN INDUSTRI LAHAT 4,KAWASAN PERINDUSTRIAN RIMA,31500, IPOH, PERAK.Perak",['31/08/2022.'],['053667757'],['ntkk_business@yahoo.com']
PCK PROCESSING & MARKETING SDN BHD,"LOT 26136, ESTATE PERINDUSTRIAN,32040 SERI MANJUNG, PERAKPerak",['15/03/2023.'],['056885592'],['pck_group@live.com']
PELANGI PROCESSING SDN BHD,"45, LINGKUNGAN RAJA LUMU,KAWASAN PERINDUSTRIAN PANDAMARAN, PELABUHAN KLANG,42000 KLANG, SELANGOR.42000Selangor","['30/11/2023', '30/11/2022.']",['03-31650050'],['ppsb45@yahoo.com']
PEMROSESAN AYAM BD,"KM 19,KG BELIMBING DALAM,76100 DURIAN TUNGGAL, MELAKA.",['15/12/2022.'],['0122222697'],['syamsulrahman045089@gmail.com']
PERAK DUCK FOOD INDUSTRIES SDN BHD,"LOT 3525, KAMPUNG NIBONG, TEMERLOH,34800, TRONG, TAIPING, PERAK","['30/11/2023', '31/07/2023', '15/01/2023.']",['058544146'],['duckling_pdi@yahoo.com']
PERNIAGAAN A YAMMIE,"15, KLEBANG BISTARI 5,KAWASAN PERINDUSTRIAN KLEBANG BISTARI,31200 CHEMOR, PERAKPerak",['15/02/2023.'],['0183354180'],['ayammiesdnbhd@gmail.com']
PERNIAGAAN ADIK BERADIK CHENG,"KEDAI NO. 6, GERAI AYAM, PASAR BARU,27000 JERANTUT, PAHANG.Pahang",['31/05/2022.'],['0199308711'],['TIADA']
PERNIAGAAN AYAM DAGING YEW,"PT 4253, MUKIM LUMUT,32040 SERI MANJUNG, PERAKPerak",['15/02/2023.'],['0125106312'],['ayamyew@hotmail.com']
PERNIAGAAN HENG WANG,"NO.7,  STOR AYAM PASAR BESAR JERANTUT 27000 JERANTUT, PAHANG",['28/02/2023.'],['0169408081'],['TIADA']
PERTANIAN TUARAN MARKETING S/B,"BATU 16, JALAN TUARAN,P.O.BOX 13335,88837 TUARAN, SABAHSabah",['31/03/2022.'],['088490888'],['ptm9889@gmail.com ']
PERTUBUHAN PELADANG NEGERI SELANGOR,"TINGKAT 1, PELADANG MART PPNS, MENARA PPNS, LOT 8, PERSIARAN DAMAI, SEKSYEN 11,40000 SHAH ALAM, SELANGOR.40000SHAH ALAMSelangor","['15/02/2023', '15/04/2022.']",['0129146520'],['faizuddinnaim.ppns2018@gmail.com']
PERTUBUHAN PELADANG NEGERI WILAYAH PERSEKUTUAN ,"LOT CL205368252, RANCHA-RANCHA, TINGKAT BAWAH, BANGUNAN LEMBAGA PERTUBUHAN PELADANG, KM.5, JALAN POHON,87020 WILAYAH PERSEKUTUAN LABUAN.W.P. Labuan",['15/05/2022.'],['087428457'],['ppnwilayah@yahoo.com.my']
PG LEAN HWA TRADING SDN BHD,"1486, MK 12, JALAN SERUNAI, LADANG VALDOR, SUNGAI BAKAP,  SUNGAI JAWI14200SUNGAI JAWIPulau Pinang","['28/02/2023', '28/02/2023', '31/10/2022', '15/06/2022.']",['04-5824720'],['pgleanhwa@yahoo.com']
PK AGRO-INDUSTRIAL PRODUCTS (M) SDN. BHD.,"LOT 10, MIEL BUILDING,SENAWANG INDUSTRIAL ESTATE,70450, SENAWANG, NEGERI SEMBILAN.70450SEREMBANNegeri Sembilan","['15/08/2024', '31/05/2023', '15/11/2022', '15/10/2022', '15/08/2022.']",['06-6783332/06-6788425'],['asma.abh@cp-malaysia.com']
POULTEC ENTERPRISE SDN BHD,"SP 97 & SP 109,KAWASAN INDUSTRI RINGAN SUNGAI PETAI,78000 ALOR GAJAH, MELAKA. ","['15/09/2023', '31/07/2023', '31/05/2023', '15/12/2022', '30/09/2022.']",['065566118'],['poultecayamsarjan@gmail.com']
PPES TERNAK SDN BHD,"LOT 1641, BLOK 5, SENTAH-SEGU LAND DISTRICT, SIBURAN,94700 SERIAN, SARAWAK.","['31/01/2023', '31/05/2022.']",['082-860111'],['ppesternak@yahoo.com']
PTS POULTRY PROCESSING (BP) SDN. BHD.,"NO. LOT 1310, BATU 4 1/2JALAN MINYAK BEKU83030 BATU PAHAT, JOHOR83030BATU PAHATJohor",['31/12/2022.'],['074280130'],['halalmb@pts.hyfresh.com.my']
