Company Name,Kitchen,,Company Address,Expired Date (Halal),Phone No.,Email
ALFRESCO DELIGHT SENDIRIAN BERHAD,,,"BLK 13A-C, SUMWAY PRIMA, LINTANG SUNGAI TIRAM 5,11900Pulau Pinang",31/1/2025,164003777,halal.ainis@canteen.my
ALL BEST FOOD GROUP PLT,"WFC WHOLE FRIED CHICKEN, MOYAN SQUARE  KUCHING",,"LOT 12, BLOCK A1, SARADISE KUCHING, JALAN SARADISE, 93350 KUCHING93350KUCHINGSarawak",31/05/2023.,138227000,csl7000@yahoo.com
ALL JOY GOOD FOOD CENTRE,ALL JOY WISMA SEBERKAS,,"LOT UG 01A, GRD FLOOR, WISMA SABERKAS93000KUCHINGSarawak",15/11/2023.,128098288,rachelchan2708@gmail.com
ALM HOSPITALITY SDN. BHD.,,,"LOT 5509, JALAN WISMA PERSEKUTUANMITCAYER KEROH75450Melaka",30/09/2024.,62347733,hr@themudzaffarhotel.com / almahrum@themudzaffarhotel.com
ALNUR ENTERPRISE,ALNUR ENTERPRISE,,"LOT 99, KAMPUNG PAYA, JALAN KUALA KANGSAR,34850 CHANGKAT JERING, PERAKPerak",29/02/2024.,135102014,ghazalib949@gmail.com
ALONG CAFE CORNER,"ALONG CAFE CORNER (R&R DENGKIL, LEBUHRAYA ELITE)",,"N5. KM 23, LEBUHRAYA UTARA SELATANHUBUNGAN TENGAHDENGKIL43800Selangor",30/11/2024.,012 9039766,ruru_324@hotmail.com
ALUNAN JUJUR SDN. BHD.,SAMUDRA HOTEL,,"LOT 379, LORONG 6, SECTION 10, KTLD, JALAN NANAS, 93400 KUCHING, SARAWAK94300Sarawak",15/07/2023.,82421099,admin@samudrah.my
AMBON BOENDA SDN BHD,,,"NO 98-1, JALAN PJU 1/3B SUNWAYMAS COMMERCIAL CENTRE47301Selangor",15/09/2024.,123650822,ambon.bakery@gmail.com
AMINAH BINTI HAJI SHARIF,AMINAH BINTI HAJI SHARIF,,"NO. 2 HENTIAN SEBELAH BUKIT GANTANG, ARAH SELATAN LEBUHRAYA , TAIPING, PERAK.PROJEK LEBUHRAYA UTARA SELATAN (PLUS),TAIPING34030TAIPINGPerak",15/07/2024.,125732312,surhayaghazali@gmail.com
AMINAH BT ABDULLAH,SELERA MALAM (SUP POWER),,"TAMAN HARMONI, STALL NO.12( TO SELL COOKED FOOD )96000SIBUSarawak",29/02/2024.,133473013,halaljais.sijil@sarawak.gov.my
AMPANG PUTERI SPECIALIST HOSPITAL,,,"NO 1, JALAN MAMANDA 9TAMAN DATO' AHMAD RAZALI68000AMPANGSelangor",30/11/2023.,03-42895000,shakila_pingi@kpjampang.com
AMPLE PROSPERITY SDN BHD,RESTORAN K8 ,,"55E & 56E, 4TH FLOOR,  JALAN USJ 10/1F, TAIPAN BUSINESS CENTRE 47620SUBANG JAYASelangor",15/12/2024.,122013095,faezah.mansor@ampleprosperity.com
AMVERTON HERITAGE RESORT(PEMBINAAN KESENTOSAAN SDN BHD),DAYANG COFFEE HOUSE,,"AMVERTON HERITAGE RESORT,JALAN PUTERI 1,AYER KEROH, MELAKA.75450Melaka",15/03/2024.,62323333,enquiries@amvertonheritage.com
ANCASA HOTEL KUALA LUMPUR,,,UDA ANCASA SDN BHDLOT PT 81 & 89 SEK 56LORONG SULTAN50000Wilayah Persekutuan,30/11/2024.,03-2026 6060,cost@ancasahotels.com
ANGKARAMA SDN BHD,MAMA KIM - SAUNA MEE,,NO. 943JALAN SULTAN MAHMUDKUALA IBAI20400KUALA TERENGGANUTerengganu,31/01/2025.,09-6163377,mamakimhalal@gmail.com
ANJUNG SELERA RTIEZ,"ANJUNG SELERA RTIEZ, HENTIAN SEBELAH BUKIT GANTANG (S)",,"LOT 1640A, KAMPUNG CHEH TENGAH,BUKIT GANTANG,34850 CHANGKAT JERING, PERAK34850Perak",31/01/2024.,1116363990,anjungselerartiez@gmail.com
ANNYEONGHASEYO ASIA SDN BHD,RESTAURANT ANNYEONGHASEYO,,"NO 3535-F T/A, JALAN KUALA KRAI15050KOTA BHARUKelantan",15/12/2024.,133098556,annyeonghaseyo.hq@gmail.com
ANSARCOMP HOSPITALITY SDN BHD,MAIDAH RESTAURANT & FOOD DELIVERY ,,NO. 36 JALAN PUTRA MAHKOTA 7/7APUTRA HEIGHTS47650Selangor,15/04/2023.,351922185,halal@ansarcomp.com.my
APC AYAM PENYET CORNER,"APC AYAM PENYET CORNER,BINTULU",,"UNIT NO. E-G-01,BINTULU PARAGON STREET MALL,NO.1, OLD AIRPORT,97000BINTULU, SARAWAKSarawak",31/05/2024.,86341633,ayampenyetcorner1002@gmail.com
APN MANOK TUNOK STATION 8,APN MANOK TUNOK STATION 8,,"TAMAN HARMONI STALL NO 8, JLN ARCHER TAMAN HARMONI, 96000SIBUSarawak",29/02/2024.,128583114,halaljais.sijil@sarawak.com
AREEV NIVAN CATERING SDN. BHD,AREEV NIVAN CATERING SDN BHD,,"NO.4932, TOKONG LANE JALAN JETTY LAMA 12000BUTTERWORTHPulau Pinang",31/03/2024.,04-3310781,areevnivan21@gmail.com
ARENAA STAR LUXURY HOTEL SDN BHD,,,"NO.49-61,JALAN HANG LEKIU,50100KUALA LUMPURWilayah Persekutuan",15/11/2023.,03-2078 0988,enquiry.star@arenaahotelsgroup.com
ARIFFIN BIN ABDUL JALIL,GERAI BUAH PAK PIN & KELUARGA,,"KAWASAN REHAT & RAWAT (R&R) SUNGAI PERAK (S),PROJEK LEBUHRAYA UTARA SELATAN (PLUS),33000 KUALA KANGSAR, PERAK33000KUALA KANGSARPerak",29/02/2024.,1139500499,jaadin65@gmail.com
ARINA BINTI SA'AT,WARUNG LEPAK KSG,,"WARUNG LEPAK KSGNO.47 , TAMAN SELERA HARMONIJALAN AWANG RAMLI AMIT96000SIBUSarawak",29/02/2024.,1114391526,halaljais.sijil@sarawak.gov.my
AROMA HARMONI CATERING SDN BHD,,,"SUBLOT NO. 65, PARENT LOT 7668, BLOCK 31KEMENA LAND DISTRICT 97008Sarawak",31/12/2023.,1110571911,Jimmyhcj@gmail.com
ARTGARD VENTURES SDN. BHD,KAFETERIA MAHALLAH HAFSA,,NO. 27-1 JALAN UNGU U9/BSUNWAY KAYANGAN40150SHAH ALAMSelangor,15/08/2023.,378322387,canteensense@gmail.com
ASAS KLASIK SDN. BHD,MANDARIN ORIENTAL KUALA LUMPUR,,KUALA LUMPUR CITY CENTREKUALA LUMPUR50088Wilayah Persekutuan,15/07/2023.,-237485,Group - MOKUL - HalalCom@mohg.com
ASIARI ENTERPRISE SDN BHD,ASIARI,,"LOT 5, JALAN P10/12, KAWASAN PERUSAHAAN BANGI43650BANGISelangor",31/7/2024,356128983,shazlin@asiari.com.my
ASNADY BIN ABDUL RANI,,,"APN CAFE 2STALL NO.7 JLN ARCHER, TAMAN HARMONI 96000SIBUSarawak",29/02/2024.,199623164,halaljais.sijil@sarawak.gov.my
"ASSAM HOUSE RESTAURANT, GREENTOWN (JALIN GEMILANG)","ASSAM HOUSE RESTAURANT, GREENTOWN, IPOH",,"NO. 29, PERSIARAN GREENTOWN 4,GREENTOWN BUSINESS CENTRE,30450 IPOH, PERAK30450Perak",30/09/2024.,52437851,kelvin111228@gmail.com
ATCC BAKERY & TRADING,AT CUPCAKE BAKERY,,"NO.12, JALAN MEGAN SETAPAK 1MEGAN SRI RAMPAI53300 SETAPAK, WILAYAH PERSEKUTUAN KUALA LUMPUR",31/5/2024,348212213,atcupcakes@yahoo.com
ATTANA HOTELS & RESORTS SDN BHD (F.K.A:PNB MANAGEMENT SERVICES SDN. BERHAD,ESPIRA KINRARA,,ESPIRA KINRARAJALAN KINRARA 6BANDAR KINRARA47180PUCHONGSelangor,30/11/2023.,03-80791000,admin@kinrararesort.com.my
ATURAN LAGENDA SDN BHD,"IDEAS KUALA LUMPUR,HOTEL",,"IDEAS KUALA LUMPURNO. 12, JALAN RAJA LAUT50300KUALA LUMPURWilayah Persekutuan",31/01/2025.,326148000,pm@ideaskl.com
ATVV CAFE,,,"NO 5, GERAI MINUMAN R & R HENTIAN TEMERLOH (ARAH TIMUR)LEBUHRAYA PANTAI TIMUR28000TEMERLOHPahang",31/10/2023.,193339164,ukiranamaksima@yahoo.com
AUGUSTLAND HOTEL SDN BHD,,,"KEA FARM, BRINCHANG,39100Pahang",31/05/2024.,+605 4961777,cameron@millenniumhotels.com
AYAMAS SHOPPE SDN BHD,,,"LEVEL 4, WISMA CNI, NO.2, JALAN PERUNDING U1/17, HICOM GLENMARIE INDUSTRIAL PARK, SEKSYEN U1,40150SHAH ALAMSelangor",15/2/2025,355697783,asyraf.marzuki@ayamasshoppe.com.my
AYU AZFAR ENTERPRISE,,,"C31, LOT 22441, PERSIARAN MERAK, TAMAN PAROI JAYA,70400SEREMBANNegeri Sembilan",15/07/2024.,196552985,ayuazzfar@gmail.com
AZIMA ENTERPRISE,KANTIN SK MIRI,,"FOOD KIOSK, PUSTAKA NEGERI SARAWAK, JALAN KIPAS, MIRI CITY FAN,98000MIRISarawak",31/03/2024.,138395963,lyn_azilin93@yahoo.com
AZIZ BIN AWANG,KAWASAN REHAT DAN RAWAT PAKA ARAH SELATAN,,"LPT 2,R&R PAKA ARAH SELATAN,23100 DUNGUN TERENGGANU23100DUNGUNTerengganu",31/05/2024.,102348727,azizmarang247@gmail.com
AZLAN BIN ISHAK,STALL NO.43,,"TAMAN HARMONISTALL N0.43JLN ARCHER, TAMAN HARMONI (TO SELL DRINKS)96000SIBUSarawak",29/02/2024.,164367570,halaljais.sijil@sarawak.gov.my
AZLEENDA JAYA ENTERPRISE,GERAI NO14 PAKA ARAH UTARA,,KAWASAN REHAT DAN RAWAT PAKA  ARAH UTARAPAKA23100PAKATerengganu,31/05/2024.,147027441,azleendaleeenda@gmail.com
AZURA BINTI JUNOH ,,,"KAWASAN REHAT DAN RAWAT PAKA ARAH SELATAN LPT2,23000 DUNGUN,TERENGGANU23000DUNGUNTerengganu",15/01/2024.,109083291,azurajunoh1977@gmail.com.my
AZZIM RESOURCES,,,"NO. 45,(1ST FLOOR) LORONG KUDA296000Sarawak",15/03/2024.,138005943,azzimresources353@gmail.com
A'FAMOSA RESORT HOTEL SDN BHD,A' FAMOSA RESORT ,,JALAN KEMUSSIMPANG EMPAT78000Melaka,15/11/2024.,06-5520888,accounts.hotel@afamosa.com
B FRESH & DRIVE,B FRESH & DRIVE,,"D2 C10, KAWASAN REHAT & RAWAT (R&R) TAPAH (S)PROJEK LEBUHRAYA UTARA SELATAN (PLUS),35000 TAPAH, PERAKPerak",30/11/2024.,194768748,ccwong26@hotmail.com
B VENTURES MANAGEMENT SDN BHD,,,"B-G-3A, GALERIA HARTAMAS,JALAN 26/70A, DESA SRI HARTAMAS,50480Wilayah Persekutuan",31/07/2023.,389539757,kokwei8889@gmail.com/balqis.halal@gmail.com
BAA IS ANEKA RASA,,,"N0.4, SUNGAI PANCHING UTARA26250KUANTANPahang",15/07/2024.,139718482,aziqizzuddin@gmail.com
BABAGANOUSH,,,"LOT A2-1, A3-1, SECTION 67, GRD FLOOR, YOSHI COMMERCIAL CENTRE, JALAN PELABUHAN93450, KUCHING93450KUCHINGSarawak",30/09/2024.,082-481121,bbg.restaurant@gmail.com
BABAQUE HOTPOT BUFFET," BABAQUE HOTPOT BUFFET, SIBU",,"NO 21, GROUND FLOORLORONG TUNKU ABDUL RAHMAN 2A296000SIBUSarawak",15/11/2023.,145898000,bbqhotpot8000@gmail.com
BAKEMORE BAKERY SDN BHD,BAKEMORE BAKERY ,,"NO. 22, JALAN LAU KING HOWE, 96000SIBUSarawak",31/12/2023.,84255421,marketing@dehousehotel.com
BAKERS TALK CONFECTIONERY SDN. BHD,"BAKERS TALK CONFECTIONERY SDN. BHD,KUCHING",,"NO. 473 LOT 14641 BLOCK 11, GROUND FLOOR HEIGHTS DRIVE COMMENCIAL CENTRE JLN STUTONG93350KUCHINGSarawak",31/05/2023.,168951123,Alicefong4422@gmail.com
BANGI RESORT HOTEL SDN. BHD. (FORMERLY KNOWN AS BANGI HOTEL SDN. BHD.),BANGI RESORT HOTEL,,OFF PERSIARAN BANDARBANDAR BARU BANGI43650Selangor,15/4/2023,03-82102222,qaqc001@gmail.com
BANJARAN SEMPURNA SDN. BHD.,RESTORAN DON'S WARONG,,"B-0-4 & B-1-4, PLAZA DAMAS 1JALAN SRI HARTAMAS 150480KUALA LUMPURWilayah Persekutuan",31/07/2023.,362061242,khairulazharbaharuddin@gmail.com
BATU BUROK BEACH RESORT SDN.BHD,BATU BUROK BEACH RESORT SDN.BHD,,NO. 906-AJALAN PANTAI BATU BUROKKUALA TERENGGANU20400Terengganu,15/12/2023.,09-6221410,salesbbbr2016@gmail.com
BAYAM ENTERPRISE SDN BHD ,,,"LOT 21695, JALAN KUBANG KURUS24000Terengganu",28/02/2023.,98504105,info@bayam.com.my
BAYOU LAGOON PARK RESORT SDN. BHD.,BAYOU LAGOON PARK RESORT,,"AMARI VILLA, JALAN WAKAF UTAMA BUKIT KATIL75450Melaka",15/12/2023.,62330888,www.bayoulagoon.com.my
BAYU BEACH RESORT SDN. BHD,,,"4 ½ MILES, JALAN PANTAI,71050PORT DICKSONNegeri Sembilan",.,06-6473703,f&b@bayubeach.com.my
BAYVIEW HOTEL MELAKA,,,BAYVIEW HOTEL MELAKAJALAN BENDAHARA75100MELAKAMelaka,30/09/2024.,606-2839888,personnel.bhm@bayviewhotels.com
BB COFFEE SDN BHD,BASK BEAR COFFEE ,,"NO.1, NOUVELLE INDUSTRIAL PARK 2,LORONG TEKNOLOGI 3/4A, TAMAN SAINS SELANGOR,KOTA DAMANSARA47810PETALING JAYASelangor",31/1/2025,361518581,ahmadnazmi@loob.com.my
BBT HOTEL SDN BHD (PREMIERE HOTEL),HOTEL PREMIER,,"BANDAR BUKIT TINGGILOT 085548, TINGKAT 16, JALAN LANGAT BANDAR BUKIT TINGGI 1/641200KLANGSelangor",15/04/2024.,60333256868,fnb@premiere-hotels.wct.my
BEI HOLDINGS SDN BHD (DYNASTY HOTEL),,,"LOT 683, BLOCK 9 JALAN PUJUT-LUTONG98000Sarawak",30/09/2024.,085-421111,dyhlmyy@dynastyhotelmiri.com.my
BELACAN LAA F&B SDN.BHD.,BELACAN LAA ,,"NO, 15-2,JALAN PJU 5/6, DATARAN SUNWAY, KOTA DAMANSARA47810PETALING JAYASelangor",31/7/2024,361403388,ug.leasing01@gmail.com
BELADIN ENTERPRISE ,,,"LOT 710, KEDAI MINI SEDC, 94700 SERIAN.94700SERIANSarawak",15/12/2024.,195854930,beladinenterprise82@gmail.com
BELMONT RESOURCES SDN BHD,YOGURT & MILK ,,12 PERSIARAN GREENTOWN 10GREENTOWN BUSINESS CENTRE30450IPOH Perak,30/11/2024.,108457955,belmont.halal22@gmail.com
BENG YING TRADING,"EXPRESS STALL, R&R TAPAH (S)",,"LOT 3554, TAMAN SERI INDAH,JALAN SLIM LAMA,35900 TANJUNG MALIM, PERAKPerak",31/03/2024.,125169636,lieyinghar@hotmail.com
BERINGGIS BEACH RESORT,BERINGGIS BEACH RESORT SDN BHD,,"KM26 JALAN PAPAR, KG. BERINGGIS,P.O BOX 571, PAPAR, SABAH89600Sabah",15/06/2024.,088-752333,info@beringgisbeachresort.com
BERJAYA HILLS RESORT BERHAD,,,"KM 48, PERSIMPANGAN BERTINGKAT LEBUHRAYA KARAK28750BUKIT TINGGIPahang",30/04/2024.,92213666,fnbops.mgr@colmartropicale.com.my
BERJAYA ROASTERS (M) SDN BHD,,,"LOT 9-16, LEVEL 9, EAST WING,BERJAYA TIMES SQUARE, NO. 1, JALAN IMBI,55100 KUALA LUMPUR.Wilayah Persekutuan",15/2/2025,03-21199888,qa.dept@krr.com.my
BERJAYA STARBUCKS COFFEE COMPANY SDN BHD,,,"LOT 10-04, LEVEL 10, WEST,BERJAYA TIMES SQUARE, NO.1, JALAN IMBI,55100KUALA LUMPURWilayah Persekutuan",28/2/2025,603 2052-5888,halalenquiry@starbucks.com.my
BERJAYA WATERFRONT SDN BHD," BERJAYA WATERFRONT HOTEL, JOHOR BAHRU",,DUTY FREE ZONE JOHOR BAHRU 88JALAN IBRAHIM SULTAN80300STULANG LAUTJohor,31/10/2024.,07-2219999,noraini.topah@berjayahotel.com
BERRY'S CAKE HOUSE (KL) SDN BHD,,,"19 (1ST FLR),JALAN USJ 10/1E, 47650SUBANG JAYASelangor",30/9/2024,03-56339688,berrys@berrys.com.my
BEST PRIORITY SDN BHD,THE DAILY DINER CAFE,,"JALAN DATO LAU PAK KHUAN, TAMAN IPOH,31400IPOHPerak",31/12/2024.,125481432,service@dailydiner.my
BESTA CORPORATION SDN BHD,DAPUR UTAMA KEDAH MEDICAL CENTRE,,"NO 11, JALAN 2/4 C,DESA MELAWATI,53100Wilayah Persekutuan",15/04/2024.,04-7300570,hajarshy@gmail.com
BESTA CORPORATION SDN. BHD.,DAPUR UTAMA CAWANGAN KPJ PERLIS,,"NO. 366 (BAWAH), JALAN KANGAR ALOR SETAR, TAMAN MUTIARA01000KANGARPerlis",15/01/2024.,122621286,syakirahshahbudin2204@gmail.com
BG FOOD STALL,,,"RSA NO 4 ,TEMERLOH TIMUR LEBUHRAYA PANTAI TIMUR28000TEMERLOHPahang",30/09/2024.,179797911,mfadzlimustaffa@gmail.com
BHAI BIRYANI SDN. BHD. (FORMERLY KNOWN AS: SAG ARABIC RESTAURANT SDN. BHD.),,,3 LORONG PERINDUSTRIAN BUKIT MINYAK 1TMN PERINDUSTRIAN BUKIT MINYAK14100Pulau Pinang,30/11/2024.,45072786,"sitinuraliarosli@yahoo.com , hrm@saudagarkurma.com"
BIBI DIANA BINTI MOHAMED ZAN,,,"TAMAN HARMONI,STALL NO.30TAMAN HARMONI, JLN ARCHER 96000, SIBU, SARAWAK, MALAYSIA96000SIBUSarawak",29/02/2024.,013-8581192,halaljais.sijil@sarawak.gov.my
